time,S,I,R
94.7,0.10499908426047512,0.001982696782171476,0.8930182189573534
94.80000000000001,0.10516435975977922,0.001976214526480502,0.8928594257137403
94.9,0.10532962608129488,0.0019697742988244774,0.8927005996198807
95.0,0.10549488307373321,0.0019633758250570464,0.8925417411012098
95.10000000000001,0.1056601305864134,0.001957018833239007,0.8923828505803476
95.2,0.10582536846925863,0.0019507030536198271,0.8922239284771215
95.30000000000001,0.1059905965727921,0.0019444282186193342,0.8920649752085885
95.4,0.1061558147481329,0.0019381940628095723,0.8919059911890576
95.5,0.10632102284699209,0.0019320003228968279,0.8917469768301112
95.60000000000001,0.10648622072166865,0.0019258467377038242,0.8915879325406276
95.7,0.10665140822504557,0.0019197330481520775,0.8914288587268024
95.80000000000001,0.10681658521058585,0.001913658997244419,0.8912697557921698
95.9,0.10698175153232854,0.0019076243300476766,0.8911106241376237
96.0,0.10714690704488496,0.0019016287936755203,0.8909514641614396
96.10000000000001,0.10731205160343453,0.0018956721372714604,0.890792276259294
96.2,0.10747718506372113,0.0018897541119920088,0.8906330608242868
96.30000000000001,0.1076423072820491,0.0018838744709899931,0.8904738182469609
96.4,0.10780741811527941,0.0018780329693980251,0.8903145489153226
96.5,0.10797251742082584,0.0018722293643121223,0.8901552532148621
96.60000000000001,0.10813760505665107,0.0018664634147754805,0.8899959315285735
96.7,0.108302680881263,0.0018607348817623966,0.8898365842369746
96.80000000000001,0.10846774475371085,0.0018550435281623387,0.8896772117181269
96.9,0.1086327965335814,0.001849389118764165,0.8895178143476544
97.0,0.10879783608099529,0.0018437714202404866,0.8893583924987642
97.10000000000001,0.10896286325660315,0.001838190201132175,0.8891989465422647
97.2,0.10912787792158199,0.0018326452318330124,0.889039476846585
97.30000000000001,0.10929287993763141,0.0018271362845744842,0.8888799837777941
97.4,0.10945786916696992,0.0018216631334107103,0.8887204676996193
97.5,0.10962284547233125,0.0018162255542035163,0.8885609289734653
97.60000000000001,0.10978780871696063,0.0018108233246076405,0.8884013679584318
97.7,0.10995275876461122,0.0018054562240560803,0.8882417850113328
97.80000000000001,0.11011769547954041,0.0018001240337455694,0.8880821804867141
